PING 10.10.40.150 (10.10.40.150) 56(84) bytes of data.
64 bytes from 10.10.40.150: icmp_seq=1 ttl=58 time=0.769 ms
64 bytes from 10.10.40.150: icmp_seq=2 ttl=58 time=0.735 ms
64 bytes from 10.10.40.150: icmp_seq=3 ttl=58 time=0.789 ms
64 bytes from 10.10.40.150: icmp_seq=4 ttl=58 time=0.711 ms
64 bytes from 10.10.40.150: icmp_seq=5 ttl=58 time=0.696 ms
64 bytes from 10.10.40.150: icmp_seq=6 ttl=58 time=0.736 ms
64 bytes from 10.10.40.150: icmp_seq=7 ttl=58 time=0.625 ms
64 bytes from 10.10.40.150: icmp_seq=8 ttl=58 time=0.723 ms
64 bytes from 10.10.40.150: icmp_seq=9 ttl=58 time=0.713 ms
64 bytes from 10.10.40.150: icmp_seq=10 ttl=58 time=0.804 ms
64 bytes from 10.10.40.150: icmp_seq=11 ttl=58 time=0.766 ms
64 bytes from 10.10.40.150: icmp_seq=12 ttl=58 time=0.688 ms
64 bytes from 10.10.40.150: icmp_seq=13 ttl=58 time=0.699 ms
64 bytes from 10.10.40.150: icmp_seq=14 ttl=58 time=0.786 ms
64 bytes from 10.10.40.150: icmp_seq=15 ttl=58 time=0.786 ms
64 bytes from 10.10.40.150: icmp_seq=16 ttl=58 time=0.694 ms
64 bytes from 10.10.40.150: icmp_seq=17 ttl=58 time=0.718 ms
64 bytes from 10.10.40.150: icmp_seq=18 ttl=58 time=0.794 ms
64 bytes from 10.10.40.150: icmp_seq=19 ttl=58 time=0.788 ms
64 bytes from 10.10.40.150: icmp_seq=20 ttl=58 time=0.748 ms
64 bytes from 10.10.40.150: icmp_seq=21 ttl=58 time=0.709 ms
64 bytes from 10.10.40.150: icmp_seq=22 ttl=58 time=0.713 ms
64 bytes from 10.10.40.150: icmp_seq=23 ttl=58 time=0.701 ms
64 bytes from 10.10.40.150: icmp_seq=24 ttl=58 time=0.688 ms
64 bytes from 10.10.40.150: icmp_seq=25 ttl=58 time=0.631 ms
64 bytes from 10.10.40.150: icmp_seq=26 ttl=58 time=0.715 ms
64 bytes from 10.10.40.150: icmp_seq=27 ttl=58 time=0.683 ms
64 bytes from 10.10.40.150: icmp_seq=28 ttl=58 time=0.781 ms
64 bytes from 10.10.40.150: icmp_seq=29 ttl=58 time=0.709 ms
64 bytes from 10.10.40.150: icmp_seq=30 ttl=58 time=0.717 ms
64 bytes from 10.10.40.150: icmp_seq=31 ttl=58 time=0.792 ms
64 bytes from 10.10.40.150: icmp_seq=32 ttl=58 time=0.675 ms
64 bytes from 10.10.40.150: icmp_seq=33 ttl=58 time=0.783 ms
64 bytes from 10.10.40.150: icmp_seq=34 ttl=58 time=0.701 ms
64 bytes from 10.10.40.150: icmp_seq=35 ttl=58 time=0.668 ms
64 bytes from 10.10.40.150: icmp_seq=36 ttl=58 time=0.682 ms
64 bytes from 10.10.40.150: icmp_seq=37 ttl=58 time=103 ms
64 bytes from 10.10.40.150: icmp_seq=38 ttl=58 time=0.712 ms
64 bytes from 10.10.40.150: icmp_seq=39 ttl=58 time=0.747 ms
64 bytes from 10.10.40.150: icmp_seq=40 ttl=58 time=0.725 ms
64 bytes from 10.10.40.150: icmp_seq=41 ttl=58 time=0.637 ms
64 bytes from 10.10.40.150: icmp_seq=42 ttl=58 time=0.655 ms
64 bytes from 10.10.40.150: icmp_seq=43 ttl=58 time=0.815 ms
64 bytes from 10.10.40.150: icmp_seq=44 ttl=58 time=0.726 ms
64 bytes from 10.10.40.150: icmp_seq=45 ttl=58 time=0.791 ms
64 bytes from 10.10.40.150: icmp_seq=46 ttl=58 time=0.763 ms
64 bytes from 10.10.40.150: icmp_seq=47 ttl=58 time=1.01 ms
64 bytes from 10.10.40.150: icmp_seq=48 ttl=58 time=0.621 ms
64 bytes from 10.10.40.150: icmp_seq=49 ttl=58 time=0.703 ms
64 bytes from 10.10.40.150: icmp_seq=50 ttl=58 time=0.784 ms

--- 10.10.40.150 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 50074ms
rtt min/avg/max/mdev = 0.621/2.779/103.155/14.339 ms
