Add license succeeded, license path:test/test_license.lic
Hand2dAligner::Alignment use time: 3385.89 us
Hand2dAligner::Alignment use time: 3163.39 us
Hand2dAligner::Alignment use time: 3096.04 us
Hand2dAligner::Alignment use time: 3161.3 us
Hand2dAligner::Alignment use time: 3119.17 us
Hand2dAligner::Alignment use time: 3360.52 us
Hand2dAligner::Alignment use time: 3118.49 us
Hand2dAligner::Alignment use time: 3363.12 us
Hand2dAligner::Alignment use time: 3342.92 us
Hand2dAligner::Alignment use time: 3062.29 us
Hand2dAligner::Alignment use time: 3274.27 us
Hand2dAligner::Alignment use time: 3241.56 us
Hand2dAligner::Alignment use time: 3321.25 us
Hand2dAligner::Alignment use time: 3319.69 us
Hand2dAligner::Alignment use time: 3036.41 us
Hand2dAligner::Alignment use time: 3092.92 us
Hand2dAligner::Alignment use time: 3151.67 us
Hand2dAligner::Alignment use time: 3273.07 us
Hand2dAligner::Alignment use time: 3100.99 us
Hand2dAligner::Alignment use time: 3175.21 us
Hand2dAligner::Alignment use time: 3396.46 us
Hand2dAligner::Alignment use time: 3327.4 us
Hand2dAligner::Alignment use time: 3155.42 us
Hand2dAligner::Alignment use time: 3125.26 us
Hand2dAligner::Alignment use time: 3064.79 us
Hand2dAligner::Alignment use time: 3151.51 us
Hand2dAligner::Alignment use time: 3212.08 us
Hand2dAligner::Alignment use time: 3105.1 us
Hand2dAligner::Alignment use time: 3155.26 us
Hand2dAligner::Alignment use time: 3334.9 us
Hand2dAligner::Alignment use time: 3097.66 us
Hand2dAligner::Alignment use time: 3364.48 us
Hand2dAligner::Alignment use time: 3249.43 us
Hand2dAligner::Alignment use time: 3188.07 us
Hand2dAligner::Alignment use time: 3204.17 us
Hand2dAligner::Alignment use time: 3363.8 us
Hand2dAligner::Alignment use time: 3173.64 us
Hand2dAligner::Alignment use time: 3164.27 us
Hand2dAligner::Alignment use time: 3100.99 us
Hand2dAligner::Alignment use time: 3238.23 us
Hand2dAligner::Alignment use time: 3462.4 us
Hand2dAligner::Alignment use time: 3129.38 us
Hand2dAligner::Alignment use time: 3117.45 us
Hand2dAligner::Alignment use time: 3108.91 us
Hand2dAligner::Alignment use time: 3313.23 us
Hand2dAligner::Alignment use time: 3132.66 us
Hand2dAligner::Alignment use time: 3145.73 us
Hand2dAligner::Alignment use time: 3122.5 us
Hand2dAligner::Alignment use time: 3309.95 us
Hand2dAligner::Alignment use time: 3259.11 us
Hand2dAligner::Alignment use time: 3235 us
Hand2dAligner::Alignment use time: 3306.67 us
Hand2dAligner::Alignment use time: 3118.59 us
Hand2dAligner::Alignment use time: 3042.4 us
Hand2dAligner::Alignment use time: 3124.27 us
Hand2dAligner::Alignment use time: 3181.62 us
Hand2dAligner::Alignment use time: 3123.85 us
Hand2dAligner::Alignment use time: 3158.12 us
Hand2dAligner::Alignment use time: 3054.95 us
Hand2dAligner::Alignment use time: 3138.49 us
Hand2dAligner::Alignment use time: 3107.08 us
Hand2dAligner::Alignment use time: 3260.36 us
Hand2dAligner::Alignment use time: 3143.8 us
Hand2dAligner::Alignment use time: 3169.58 us
Hand2dAligner::Alignment use time: 3083.85 us
Hand2dAligner::Alignment use time: 3043.33 us
Hand2dAligner::Alignment use time: 3248.44 us
Hand2dAligner::Alignment use time: 3230.73 us
Hand2dAligner::Alignment use time: 3200.21 us
Hand2dAligner::Alignment use time: 3290.88 us
Hand2dAligner::Alignment use time: 3136.15 us
Hand2dAligner::Alignment use time: 3052.66 us
Hand2dAligner::Alignment use time: 3096.98 us
Hand2dAligner::Alignment use time: 3143.23 us
Hand2dAligner::Alignment use time: 3144.11 us
Hand2dAligner::Alignment use time: 3279.43 us
Hand2dAligner::Alignment use time: 3161.98 us
Hand2dAligner::Alignment use time: 3117.29 us
Hand2dAligner::Alignment use time: 3276.62 us
Hand2dAligner::Alignment use time: 3215.99 us
Hand2dAligner::Alignment use time: 3139.58 us
Hand2dAligner::Alignment use time: 3197.08 us
Hand2dAligner::Alignment use time: 3146.72 us
Hand2dAligner::Alignment use time: 3645.47 us
Hand2dAligner::Alignment use time: 3197.34 us
Hand2dAligner::Alignment use time: 3150.21 us
Hand2dAligner::Alignment use time: 3153.64 us
Hand2dAligner::Alignment use time: 3220 us
Hand2dAligner::Alignment use time: 3236.2 us
Hand2dAligner::Alignment use time: 3045.1 us
Hand2dAligner::Alignment use time: 3434.64 us
Hand2dAligner::Alignment use time: 3115 us
Hand2dAligner::Alignment use time: 3262.71 us
Hand2dAligner::Alignment use time: 3170.99 us
Hand2dAligner::Alignment use time: 3192.71 us
Hand2dAligner::Alignment use time: 3053.28 us
Hand2dAligner::Alignment use time: 3216.82 us
Hand2dAligner::Alignment use time: 3252.6 us
Hand2dAligner::Alignment use time: 3272.5 us
Hand2dAligner::Alignment use time: 3277.03 us
